"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2018","00","00000","United States","319,184,033","41,852,315","41,619,366","42,085,264","41,619,366 to 42,085,264","13.1","13.0","13.2","13.0 to 13.2","72,163,269","12,997,532","12,873,127","13,121,937","12,873,127 to 13,121,937","18.0","17.8","18.2","17.8 to 18.2","52,529,919","8,930,152","8,834,521","9,025,783","8,834,521 to 9,025,783","17.0","16.8","17.2","16.8 to 17.2","19,301,529","3,758,704","3,714,862","3,802,546","3,714,862 to 3,802,546","19.5","19.3","19.7","19.3 to 19.7","$61,937","$61,843","$62,031","$61,843 to $62,031"
"2018","36","36000","New York","19,037,616","2,603,303","2,569,152","2,637,454","2,569,152 to 2,637,454","13.7","13.5","13.9","13.5 to 13.9","3,995,453","751,694","733,127","770,261","733,127 to 770,261","18.8","18.3","19.3","18.3 to 19.3","2,866,162","511,149","495,576","526,722","495,576 to 526,722","17.8","17.3","18.3","17.3 to 18.3","1,107,952","220,997","211,205","230,789","211,205 to 230,789","19.9","19.0","20.8","19.0 to 20.8","$67,648","$67,021","$68,275","$67,021 to $68,275"
"2018","36","36001","Albany County (NY)","291,305","32,888","28,323","37,453","28,323 to 37,453","11.3","9.7","12.9","9.7 to 12.9","55,345","8,462","6,887","10,037","6,887 to 10,037","15.3","12.5","18.1","12.5 to 18.1","39,996","6,074","4,902","7,246","4,902 to 7,246","15.2","12.3","18.1","12.3 to 18.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$64,536","$60,620","$68,452","$60,620 to $68,452"
"2018","36","36003","Allegany County (NY)","42,094","7,161","5,972","8,350","5,972 to 8,350","17.0","14.2","19.8","14.2 to 19.8","9,174","2,093","1,606","2,580","1,606 to 2,580","22.8","17.5","28.1","17.5 to 28.1","6,714","1,399","1,022","1,776","1,022 to 1,776","20.8","15.2","26.4","15.2 to 26.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,262","$43,337","$49,187","$43,337 to $49,187"
"2018","36","36005","Bronx County (NY)","1,395,125","380,470","362,877","398,063","362,877 to 398,063","27.3","26.0","28.6","26.0 to 28.6","346,396","130,167","121,162","139,172","121,162 to 139,172","37.6","35.0","40.2","35.0 to 40.2","246,488","89,883","83,034","96,732","83,034 to 96,732","36.5","33.7","39.3","33.7 to 39.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$38,566","$36,826","$40,306","$36,826 to $40,306"
"2018","36","36007","Broome County (NY)","181,163","31,406","27,836","34,976","27,836 to 34,976","17.3","15.3","19.3","15.3 to 19.3","36,088","8,608","7,102","10,114","7,102 to 10,114","23.9","19.7","28.1","19.7 to 28.1","26,093","5,919","4,738","7,100","4,738 to 7,100","22.7","18.2","27.2","18.2 to 27.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,928","$48,379","$53,477","$48,379 to $53,477"
"2018","36","36009","Cattaraugus County (NY)","74,420","12,711","11,162","14,260","11,162 to 14,260","17.1","15.0","19.2","15.0 to 19.2","16,519","4,023","3,330","4,716","3,330 to 4,716","24.4","20.2","28.6","20.2 to 28.6","12,243","2,757","2,187","3,327","2,187 to 3,327","22.5","17.8","27.2","17.8 to 27.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,017","$45,370","$50,664","$45,370 to $50,664"
"2018","36","36011","Cayuga County (NY)","73,196","9,509","7,816","11,202","7,816 to 11,202","13.0","10.7","15.3","10.7 to 15.3","14,678","2,584","1,936","3,232","1,936 to 3,232","17.6","13.2","22.0","13.2 to 22.0","10,782","1,805","1,302","2,308","1,302 to 2,308","16.7","12.0","21.4","12.0 to 21.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,945","$49,303","$56,587","$49,303 to $56,587"
"2018","36","36013","Chautauqua County (NY)","122,708","22,426","19,678","25,174","19,678 to 25,174","18.3","16.1","20.5","16.1 to 20.5","25,377","6,857","5,616","8,098","5,616 to 8,098","27.0","22.1","31.9","22.1 to 31.9","18,461","4,551","3,602","5,500","3,602 to 5,500","24.7","19.6","29.8","19.6 to 29.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,689","$43,556","$47,822","$43,556 to $47,822"
"2018","36","36015","Chemung County (NY)","80,220","10,856","8,873","12,839","8,873 to 12,839","13.5","11.0","16.0","11.0 to 16.0","17,616","3,518","2,569","4,467","2,569 to 4,467","20.0","14.6","25.4","14.6 to 25.4","12,879","2,320","1,609","3,031","1,609 to 3,031","18.0","12.5","23.5","12.5 to 23.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,565","$49,456","$55,674","$49,456 to $55,674"
